Filename;ActivityName;Location;ReferenceProduct
6d862647-4b30-55ac-8f88-0d0d1f3683a0_1c5d51e7-9762-5fbb-b707-03198c65b424.spold;natural gas, burned in gas turbine;MX;natural gas, burned in gas turbine
a008456f-e50b-5d6b-8ca0-722073abaeb5_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;ME;electricity, low voltage
8a85b6c0-ba5b-5c61-b0b3-aaf7a0385f29_832fb0de-b129-4dfe-97d8-92206a61068c.spold;bleaching and dyeing, yarn;IN;bleaching and dyeing, yarn
f00781e7-4316-551b-9f69-5d49f2a94a2a_441d0f72-4a9d-5162-ac29-4c36e6d8b352.spold;rare earth oxides production, from rare earth carbonate concentrate;RoW;yttrium oxide
cd45c62c-88b7-5265-910a-d320146131ef_5321a299-0c03-4bfc-9dda-d020456f6b2e.spold;market for inorganic phosphorus fertiliser, as P2O5;IT;inorganic phosphorus fertiliser, as P2O5
45bd60c9-7ecd-555a-9dea-2118416ca423_0798a5d1-6713-4c82-8ec9-c40ac2548279.spold;market for glass fibre reinforced plastic, polyamide, injection moulded;GLO;glass fibre reinforced plastic, polyamide, injection moulded
163c6e03-fd7a-5942-8f3b-1f6f38a583b0_2b5712fb-1c87-44e1-9131-4970e73264ef.spold;market for aluminium electrolysis facility;GLO;aluminium electrolysis facility
9723aa41-04ef-5f10-9d2d-d3885ec73aa8_cfa1d213-eeff-41a8-8744-7907cc7c4c7b.spold;clinker production;Europe without Switzerland;spent solvent mixture
34c6b185-d206-5c18-8961-300897ce28a0_85086b85-ef0a-55c6-be1f-66e45e7aeaaa.spold;market group for land use change, pasture, man made;BR;land use change, pasture, man made
0d603d8b-8d62-5b6a-9b14-d54329e194a9_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;market for land tenure, arable land, measured as carbon net primary productivity, perennial crop;US;land tenure, arable land, measured as carbon net primary productivity, perennial crop
8ad7f537-12e7-5bcf-9ec4-37186fc23ec9_fb8ade8c-e39e-4733-88be-1357e3c8d52c.spold;market for used exhaust air roof hood steel, DN 400;CH;used exhaust air roof hood steel, DN 400
068fd12f-3f7a-5a8e-aaaf-2db2d78dc159_01913de1-445d-4ab6-8685-bade8b2e26a1.spold;market for wood preservation, dipping/immersion method, water-based, indoor use, dry;GLO;wood preservation, dipping/immersion method, water-based, indoor use, dry
da63c6aa-1bc6-51d3-9722-ee373fc664cd_75edc073-be76-5bc1-82a1-7be1ce500aaa.spold;market for land use change, forest, intensive;BR-MA;land use change, forest, intensive
ac48ec11-e3cf-591a-9c06-338105b10cf2_e88c3a19-945a-4396-a107-37e3876b2f0a.spold;treatment of waste mineral plaster, collection for final disposal;CH;waste mineral plaster
366922ab-f059-5330-a4d0-092bf042b1af_bc06c7e3-8a07-424b-a2d9-e43b1918638d.spold;atrazine production;RoW;atrazine
1a88bbf0-bd0a-5e9f-b97f-981f7ce2b66b_5f9b49ad-6aa8-42ee-8d55-af2982e9f0f8.spold;electricity production, hydro, run-of-river, renewable energy products;CH;electricity, high voltage, renewable energy products
1a098a52-f295-50ce-99e7-81836cd5bb77_90d1a4f9-d3b7-47e8-acc4-e2d692443216.spold;market for wastewater from liquid crystal display backlight production;CH;wastewater from liquid crystal display backlight production
0d1ee626-0505-5720-9969-51f9a058833e_7ee0ddc3-924d-4339-b9bf-7856af6a698f.spold;market for waste polyethylene;IE;waste polyethylene
b1862d97-6437-5c07-a0b6-7b81d31dfdd6_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, combined cycle power plant;CN-SC;electricity, high voltage
edd6cd65-d943-5c04-a63f-add5b5debabe_24eb302a-2bd7-485c-be95-15a34af3311d.spold;market for shed;GLO;shed
4fee3501-731d-5eff-bf26-3d21a39ae1c4_6afee328-e4bc-4970-81f8-345db985c604.spold;treatment of residues, MSWI-WWT, WW from ceramic production, residual material landfill;GLO;residues, MSWI-WWT, WW from ceramic production
84b49426-0811-5299-b0f5-c88b233fad5a_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, biogas, gas engine;ID;electricity, high voltage
f4cdd803-628a-5628-9a9d-05b9d39e3b5e_a6ec2991-f0f9-42fe-b71c-995e50838b9b.spold;glass wool mat production;CH;glass wool mat
a5d2d456-8c2f-51fa-8d40-6efa92fd584f_a950e420-5f94-4a19-b24c-70ac0ef35693.spold;cement production, CEM V/A;RoW;silica fume, densified
15618eeb-a81d-5767-8044-656e7c7777bb_93afc03f-5832-4ec0-8d76-cf6e62efff26.spold;market for transport, freight, lorry >32 metric ton, EURO5;RER;transport, freight, lorry >32 metric ton, EURO5
8745afa6-203c-52af-8fb4-f45b02f1ff62_f372d4c2-7310-4fb9-8bb6-bee214fd08d1.spold;market for land use change, perennial crop;BR-AM;land use change, perennial crop
f74ee49d-af01-5840-a39a-262eb9ed87fb_dcb70fd5-e305-4920-b68b-40697cc6a206.spold;market for waste polyethylene terephthalate;HR;waste polyethylene terephthalate
12d46d2e-8e72-57e3-b8b0-9539c73862bc_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;NA;electricity, medium voltage
d9ff0069-04c3-5018-9845-b923b727378b_e180c07f-fa94-4f7c-8a2f-32cb78f52bd6.spold;petroleum refinery operation;CH;petrol, unleaded
a830d963-5800-5b50-8f6e-ea87c0da5d74_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, combined cycle power plant;CN-LN;electricity, high voltage
09f938d3-2944-584e-bcc7-ab16d1f6dfeb_d3d23054-a030-4284-9cfb-c464e70ec865.spold;treatment of coal gas, in power plant;BA;coal gas
0e08e70c-fa2a-5537-a81b-8e27651032d3_1c5d51e7-9762-5fbb-b707-03198c65b424.spold;natural gas, burned in gas turbine;TR;natural gas, burned in gas turbine
a687c54f-dd7d-541f-9b1e-718ce8d72f85_6666335b-58fd-4687-9e8e-4235d8dd7b20.spold;market for fly ash and scrubber sludge;CH;fly ash and scrubber sludge
5c719e66-08aa-54a1-96c3-5806b63eebf4_e205cf62-396d-488a-8e2f-71344bbee1aa.spold;butter production, from cream, from cow milk;GLO;cream, from cow milk
0a2a684e-ace3-59bf-bab5-356b71f0ac29_1125e767-7b5d-442e-81d6-9b0d3e1919ac.spold;heat production, natural gas, at boiler condensing modulating >100kW;CA-QC;heat, district or industrial, natural gas
8fa0b0f8-dfb2-5aa9-ab21-72c8c23c725e_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, <1MW turbine, onshore;CN-FJ;electricity, high voltage
0a36b8f6-3569-584a-8168-1e309ee9d08e_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat production, light fuel oil, at industrial furnace 1MW;CH;heat, district or industrial, other than natural gas
a1782031-bc74-5d68-8b8f-d8c91ea52b0d_7cb00a21-30f1-4f9f-b2e4-48ee9170c8d1.spold;catch crop growing, sunflower, August-October, organic fertiliser 30 kg N;RoW;sunflower silage
cb00c007-3812-5619-9b60-e7da97351438_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;SN;electricity, low voltage
a63a810c-fbed-50cc-971a-8239332b4ec1_ac334b0b-1cc3-43bd-b8ad-246918082e02.spold;market for tanker, for petroleum;GLO;tanker, for petroleum
047e8c52-f453-55f8-8eae-fdd08d905394_db66eb0b-7b48-4300-8134-2c851292cc14.spold;anode production, prebake, for aluminium electrolysis;IAI Area, Africa;anode, prebake, for aluminium electrolysis
7f779296-33db-5fb5-b2ca-8a0fcc68b3f9_d51e5a32-c20a-4da6-8d58-31f344b50c00.spold;market for waste graphical paper;XK;waste graphical paper
f12f348d-a37d-56ab-9583-679cafc65af8_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, nuclear, pressure water reactor, heavy water moderated;RoW;electricity, high voltage
c943c6df-5313-548c-858a-7d1dfb59eeaf_e979b45b-6fca-4015-b6dd-c3fc01e8338f.spold;market for machine, for treatment of waste electric and electronic equipment;GLO;machine, for treatment of waste electric and electronic equipment
8555f92e-cc38-5904-b2a1-ca4a8c47ba13_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;FR;electricity, low voltage
ffe67476-aa02-5ed6-8faa-e1916690474a_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;VE;electricity, low voltage
94de2706-563c-5048-b00c-3ea757d1d206_004f81b0-dd66-4146-a292-c2caa4353971.spold;oxidation of manganese dioxide;RER;potassium permanganate
9849aff3-1640-5e25-b101-4087cfa5d699_7ee0ddc3-924d-4339-b9bf-7856af6a698f.spold;market for waste polyethylene;DK;waste polyethylene
d0948528-958d-5a26-87da-370b7bf7a356_4309fd1b-7875-491c-b158-65d8f5e2c663.spold;transport, passenger car, large size, petrol, EURO 3;RoW;transport, passenger car, large size, petrol, EURO 3
0e0495ea-89e5-56c7-a441-209a6bdd1c56_f5707bdf-f7e2-479b-b3ea-99c04de8a927.spold;nutrient supply from ammonia, anhydrous, liquid;UN-SEASIA;inorganic nitrogen fertiliser, as N
16b7bfc6-230d-5c84-a7e3-4569891823e2_1d32b849-121f-4d23-853c-fa2bf55c42e9.spold;market for land use change, annual crop;BR-PI;land use change, annual crop
5d166943-061c-5bb3-a1ad-669ba7f3d0cc_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, nuclear, pressure water reactor;SE;electricity, high voltage
94de9dff-e0e2-52bc-a668-d87cd9f03085_e1012215-c834-41dc-885d-ec3f7b9f37c6.spold;grass silage production, organic;CH;grass silage, organic
6e0f8f9a-afa4-53fa-b383-ecac0ee47f58_5c2ac275-7882-41b2-b00f-7d2d76c9652d.spold;operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s, electricity from renewable energy products;RoW;operation, computer, laptop, 68% active work with internet access 0.2 Mbit/s, electricity from renewable energy products
d35526ac-a7eb-53ec-a65e-5618becfe5b1_1570a766-fe08-427f-94cb-6947995117ec.spold;natural gas, liquefied, import from DZ;Europe without Switzerland;natural gas, liquefied
92ea72de-8fc7-5b95-b609-33a99f8371b1_b167bcef-715e-4136-a743-2fae79a086d3.spold;nylon 6-6 production;RoW;nylon 6-6
80d952d8-e744-5835-bf1a-e12f616ddecc_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;natural gas, high pressure, import from DE;RoW;natural gas, high pressure
171becdc-6777-54b2-88eb-c7726ada3379_cff23b42-5fa8-471b-b6fb-8a2cca249ca8.spold;market for maize seed, for sowing;GLO;maize seed, for sowing
2a833d31-84e5-5077-bc68-092b8d39037c_1fdf8b27-d732-4eed-b008-d186ae3dc8b5.spold;sodium borate mine operation and beneficiation;US;sodium borates
8d8aa815-cf2e-5202-9c6e-7812712473e1_1125e767-7b5d-442e-81d6-9b0d3e1919ac.spold;heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;PT;heat, district or industrial, natural gas
1c2258e1-5e00-5893-a199-132c125d929a_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;ME;electricity, low voltage
dd46bcc2-fcd1-5a84-90a1-cdc018457426_bc6da04d-39f0-42e4-aa45-47b8a1ac582e.spold;dipropyl amine production;RoW;dipropyl amine
c30cf678-4d73-5842-837f-60a37667d5cc_bf1643c7-e10b-45c8-a1f8-75b9e473dd07.spold;casting, bronze;CH;casting, bronze
3cfbd1d3-68e1-5d69-80fb-6d27d4671c9c_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;CA-NU;electricity, medium voltage
8daa50e3-5372-50f8-b25d-cd63b6e7ca10_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;market for land tenure, arable land, measured as carbon net primary productivity, perennial crop;KE;land tenure, arable land, measured as carbon net primary productivity, perennial crop
f9c66cd7-ac80-51c7-aaa2-a738dea80b1e_2fa1e1c0-3d02-46b6-9baf-e04422951dc8.spold;market for battery, Li-ion, NCA, rechargeable, prismatic;GLO;battery, Li-ion, NCA, rechargeable, prismatic
3afde4e9-e966-53fe-93ed-009f263d6204_c40263a4-8ee0-4162-8785-59f0c1d793d3.spold;brass turning, primarily dressing, conventional;RoW;brass removed by turning, primarily dressing, conventional
63eff3fc-3c56-585c-916c-aa81cd0e6ec1_af9fc27e-0952-4636-95ea-a36ea7f54475.spold;paper production, woodcontaining, lightweight coated;RER;paper, woodcontaining, lightweight coated
814d509c-2de9-5707-8551-e9292991bf7b_e98c4987-0c27-4ad8-aa06-568bea573460.spold;sugar beet pulp to generic market for energy feed;GLO;sugar beet pulp
a31a0abf-e356-51ec-89b9-3712e5c64efa_c264fa53-15f7-41fd-b3ee-d03d467464d0.spold;chloronitrobenzene production;RER;chloronitrobenzene
435670a5-8415-5bf6-942f-bfbb51da7938_f624efa9-1c07-54f3-b9fd-5e30dd0e3d04.spold;3-methylpyridine production;RoW;3-methylpyridine
42f18f5f-ceab-52a9-843b-1af2d418df27_b73c05e7-72a9-40af-b33e-771c6964f4ce.spold;market for wheat flour mix;GLO;wheat flour mix
7d339a6b-975c-5e26-bdd2-f0f17fcc316d_adde3ac1-7879-4737-b767-7358681849b5.spold;treatment of nickel smelter slag, residual material landfill;CH;nickel smelter slag
b8ac72f5-6290-50ed-af2d-0f37df3f90a1_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;CN-FJ;electricity, low voltage
84a99d88-3e49-57b6-b9cc-dba165158239_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;GB;electricity, low voltage
b80cfdfc-2554-5f0b-b328-bb4a6b8e1690_f43c95e7-40e6-4ba9-9ab1-d1bc10d3fa79.spold;nutrient supply from compost;GLO;compost
f6f7bdab-b6cf-52fe-9d0e-a7e13f63bc1b_a498d9fb-9402-4374-b2e2-3f85f5d98f43.spold;ammonium nitrate production;CN;ammonium nitrate
1315fe4f-537e-5e93-af99-a03bb19f947d_f31957b8-d8b1-4a37-8044-5c15c3440857.spold;bamboo pole production;PH;bamboo pole
9769e885-09bc-5b98-9f03-d70d4129dcb0_76736f35-6812-4b73-967d-010efeda851f.spold;market for aluminium removed by milling, average;GLO;aluminium removed by milling, average
c06b62c4-f5fe-53b8-bd9e-5f554bdaced3_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, combined cycle power plant;CA-BC;electricity, high voltage
aa5454f6-02a3-53fc-a7e3-c9f1b44dcfa5_8d7c013a-5aca-44d7-8fc4-193844d2953a.spold;market for waste packaging paper;DE;waste packaging paper
834ddb1b-d754-5f27-aca1-258e474d4cdb_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;MU;electricity, medium voltage
f426ec83-4849-5d34-9734-afb8115a2837_0eaf51a0-47d0-4a4a-a2be-51e740318456.spold;treatment of sewage sludge, 97% water, WWT[U], WW from lorry production, landfarming;CH;sewage sludge, 97% water, WWT[U], WW from lorry production
723331c8-f411-510f-8bab-b8d9208d76b7_775234b1-0e93-4cdb-9cd2-db60577e1a5a.spold;solar collector system installation, evacuated tube collector, one-family house, combined system;CH;solar collector system, with evacuated tube collector, one-family house, combined system
f9a89049-1cb4-57e8-93b4-fde1f5450e73_2f6880f1-d79c-436d-9fe2-5a589d0e504b.spold;potassium nitrate production;RNA;potassium nitrate
bbf61557-8344-5ed2-b94b-4924aa495164_382471d0-afca-4f0d-bec6-f0bfe2c28225.spold;treatment of scrap printed wiring boards, shredding and separation;CA-QC;used printed wiring boards
